,Date,Tidal_Variation,Waves,Current_Speed,Direction_of_Flow,Dredging_Requirement,Depth,Siltation_Amount,Ships_Frequency,Heavy_Rainfall,Channel
354,2017-12-21,0.04,1.14,0.17,1,2,8.66,2.23,13,0,1
355,2017-12-22,1.15,2.04,1.41,0,2,12.57,1.32,16,0,1
356,2017-12-23,1.07,1.71,1.33,0,2,17.65,1.08,28,0,2
357,2017-12-24,4.85,2.26,1.45,1,2,13.97,1.46,27,1,1
358,2017-12-25,1.26,1.57,1.98,1,0,18.98,1.16,12,0,1
359,2017-12-26,2.17,2.47,0.93,0,1,11.21,2.65,27,1,2
360,2017-12-27,1.16,0.1,1.82,0,2,14.0,1.96,11,0,2
361,2017-12-28,4.67,0.01,0.21,0,1,15.33,1.53,9,1,2
362,2017-12-29,0.08,0.16,0.5,1,2,13.11,1.93,16,1,1
363,2017-12-30,4.03,2.84,1.72,1,0,8.7,2.59,16,0,1
364,2017-12-31,4.21,1.45,0.49,1,2,8.23,2.34,25,0,2
365,2018-01-01,1.35,0.14,1.82,1,0,12.88,1.23,28,0,2
366,2018-01-02,3.55,2.95,2.48,1,0,8.17,2.7,19,0,2
367,2018-01-03,2.37,0.61,1.75,1,0,16.65,1.73,21,1,1
368,2018-01-04,2.88,2.45,2.21,0,2,17.3,1.58,12,0,1
369,2018-01-05,2.75,1.29,0.78,0,1,13.08,1.56,12,1,2
370,2018-01-06,1.2,1.05,2.43,0,2,14.43,1.4,25,1,2
371,2018-01-07,0.05,0.08,0.18,0,1,17.23,1.84,15,1,2
372,2018-01-08,4.01,1.59,1.07,0,2,17.97,1.8,25,0,2
373,2018-01-09,1.3,1.61,1.62,1,0,10.95,2.88,10,0,2
374,2018-01-10,0.77,2.32,0.17,0,1,10.08,2.99,22,0,2
375,2018-01-11,2.03,2.84,1.45,1,2,12.51,1.31,27,0,1
376,2018-01-12,2.22,2.51,0.75,1,2,15.95,1.56,6,1,2
377,2018-01-13,2.58,0.25,1.61,1,0,13.96,1.39,13,0,2
378,2018-01-14,3.07,0.36,2.02,1,0,8.23,2.63,16,0,1
379,2018-01-15,2.96,0.75,0.18,0,1,11.9,2.55,8,1,2
380,2018-01-16,2.79,2.8,0.84,1,2,11.11,2.06,25,0,2
381,2018-01-17,0.8,0.93,2.0,1,0,18.24,1.57,8,1,1
382,2018-01-18,1.48,0.35,1.18,0,2,10.65,2.88,25,1,2
383,2018-01-19,1.56,0.96,0.48,1,2,14.51,1.76,5,0,1
384,2018-01-20,1.23,0.78,0.68,0,1,9.79,2.3,12,0,1
385,2018-01-21,1.33,0.68,0.36,0,1,16.75,1.13,9,0,1
386,2018-01-22,3.35,2.36,0.97,1,2,13.39,1.72,29,1,1
387,2018-01-23,0.51,1.98,0.21,0,1,9.71,2.26,15,1,1
388,2018-01-24,3.84,2.37,1.53,1,0,9.43,2.64,21,1,1
389,2018-01-25,3.31,2.16,0.49,1,2,13.31,1.24,23,1,2
390,2018-01-26,1.09,1.37,1.9,1,0,11.44,2.75,23,0,1
391,2018-01-27,0.16,1.28,1.84,0,2,13.96,1.34,9,0,1
392,2018-01-28,1.74,2.93,1.02,1,2,15.81,1.75,26,0,1
393,2018-01-29,0.11,2.79,2.28,0,2,9.67,2.47,28,0,2
394,2018-01-30,2.48,0.76,0.12,0,1,9.8,2.91,6,0,1
395,2018-01-31,2.31,0.23,1.48,1,2,12.08,1.27,14,1,2
396,2018-02-01,0.44,1.24,2.23,1,0,14.67,1.39,15,1,1
397,2018-02-02,2.19,1.19,2.49,1,0,18.62,1.99,14,0,2
398,2018-02-03,3.55,0.3,0.42,0,1,17.99,1.03,28,0,1
399,2018-02-04,3.8,1.55,2.49,0,2,18.18,1.66,19,0,2
400,2018-02-05,0.87,0.44,1.93,0,2,10.7,2.07,5,0,2
401,2018-02-06,1.28,2.76,0.37,1,2,8.99,2.22,18,0,2
402,2018-02-07,1.5,1.95,2.28,0,2,13.74,1.91,8,0,1
403,2018-02-08,3.32,2.79,0.7,1,2,10.31,2.63,23,0,2
404,2018-02-09,1.66,1.61,0.93,1,2,9.38,2.6,18,0,1
405,2018-02-10,1.64,0.4,2.34,0,2,14.22,1.14,9,1,2
406,2018-02-11,3.06,1.83,1.97,0,2,10.68,2.48,14,1,1
407,2018-02-12,3.26,1.57,1.03,1,2,11.86,2.68,7,1,2
408,2018-02-13,3.98,0.65,2.17,1,0,12.39,1.27,5,0,2
409,2018-02-14,1.92,1.36,1.77,1,0,10.0,2.24,18,1,1
410,2018-02-15,2.77,1.85,0.34,1,2,19.65,1.72,18,1,1
411,2018-02-16,1.67,2.83,2.4,1,0,15.04,1.73,21,0,1
412,2018-02-17,4.49,2.27,2.34,1,0,9.75,2.07,15,0,1
413,2018-02-18,2.92,2.55,1.02,1,2,11.37,2.45,20,1,2
414,2018-02-19,4.58,0.73,2.3,1,0,11.97,2.92,16,0,1
415,2018-02-20,0.53,1.82,1.9,0,2,8.89,2.5,16,0,2
416,2018-02-21,3.38,2.48,2.31,1,0,8.57,2.2,15,1,1
417,2018-02-22,3.0,2.29,2.32,0,2,10.07,2.75,27,1,1
418,2018-02-23,3.56,0.1,2.09,1,0,8.49,2.86,14,1,2
419,2018-02-24,3.28,0.1,0.99,0,1,15.29,1.6,22,1,2
420,2018-02-25,4.13,1.38,0.83,0,1,16.67,1.97,17,1,2
421,2018-02-26,2.88,2.42,0.97,0,1,14.73,1.14,5,1,2
422,2018-02-27,1.36,0.48,0.93,1,2,9.87,2.68,24,0,2
423,2018-02-28,4.18,1.48,1.08,1,2,12.97,1.75,18,0,2
424,2018-03-01,1.11,1.35,1.92,0,2,12.49,1.9,23,0,2
425,2018-03-02,2.91,1.14,1.36,0,2,8.64,2.37,29,1,2
426,2018-03-03,2.81,1.25,2.33,0,2,12.59,1.64,29,1,2
427,2018-03-04,3.21,1.46,1.55,0,2,9.41,2.27,16,1,2
428,2018-03-05,2.27,0.69,0.12,1,2,18.14,1.7,22,1,2
429,2018-03-06,1.38,0.45,0.15,1,2,14.25,1.16,16,0,2
430,2018-03-07,2.44,0.8,0.57,0,1,9.94,2.4,14,1,2
431,2018-03-08,3.32,0.93,0.29,0,1,11.73,2.2,9,1,2
432,2018-03-09,1.38,2.17,1.31,1,2,9.58,2.67,16,1,1
433,2018-03-10,3.93,1.63,2.21,0,2,11.98,2.4,12,1,1
434,2018-03-11,0.71,0.85,1.69,1,0,9.85,2.56,6,0,1
435,2018-03-12,1.68,2.37,0.19,0,1,9.56,2.8,12,1,1
436,2018-03-13,3.64,0.51,0.26,1,2,10.21,2.04,18,0,2
437,2018-03-14,0.51,1.5,0.76,0,1,10.14,2.51,22,0,2
438,2018-03-15,0.58,0.9,0.63,1,2,18.18,1.78,10,1,1
439,2018-03-16,2.35,2.54,2.24,1,0,18.94,1.34,19,0,2
440,2018-03-17,2.62,2.43,1.46,1,2,17.24,1.57,26,1,2
441,2018-03-18,2.18,1.83,0.77,1,2,11.07,2.51,7,1,1
442,2018-03-19,1.97,0.9,2.1,0,2,8.49,2.33,25,1,1
443,2018-03-20,2.32,0.49,2.0,0,2,8.06,2.57,19,0,1
444,2018-03-21,4.03,2.59,1.42,1,2,17.71,1.8,16,1,2
445,2018-03-22,4.74,1.78,1.28,0,2,15.33,1.32,8,1,1
446,2018-03-23,1.26,0.48,0.29,1,2,16.32,1.78,12,0,1
447,2018-03-24,2.12,0.96,2.31,1,0,9.9,2.57,20,1,1
448,2018-03-25,3.92,1.62,0.22,0,1,18.14,1.4,21,0,1
449,2018-03-26,0.3,1.29,0.93,0,1,18.78,1.33,24,1,1
450,2018-03-27,0.65,0.43,0.74,0,1,19.46,1.93,13,1,1
451,2018-03-28,3.44,2.45,0.23,0,1,14.69,1.29,13,0,1
452,2018-03-29,0.89,0.33,1.97,0,2,8.46,2.61,10,1,1
453,2018-03-30,2.32,0.37,0.51,0,1,18.34,1.04,21,0,1
454,2018-03-31,4.56,0.07,0.49,0,1,10.44,2.33,7,1,2
455,2018-04-01,1.44,2.17,0.75,1,2,12.67,1.71,27,1,1
456,2018-04-02,3.69,1.51,1.13,0,2,10.09,3.0,24,1,2
457,2018-04-03,3.71,0.2,1.99,1,0,11.75,2.28,19,0,2
458,2018-04-04,0.82,0.05,2.27,0,2,12.29,1.28,18,1,2
459,2018-04-05,3.05,1.54,2.1,1,0,11.81,2.11,28,1,2
460,2018-04-06,2.22,2.07,1.54,1,0,15.29,1.62,23,0,1
461,2018-04-07,0.8,2.8,0.7,1,2,12.17,1.15,18,1,2
462,2018-04-08,2.95,0.36,1.42,0,2,10.63,2.0,17,1,1
463,2018-04-09,4.73,0.08,2.17,0,2,8.75,2.59,26,0,2
464,2018-04-10,1.13,2.79,1.21,1,2,10.6,2.1,7,0,1
465,2018-04-11,4.01,0.47,0.75,1,2,17.66,1.78,6,0,2
466,2018-04-12,4.58,1.75,0.67,0,1,14.44,1.28,9,1,1
467,2018-04-13,3.03,0.86,1.53,1,0,16.68,1.73,22,1,2
468,2018-04-14,0.43,0.07,2.37,0,2,11.81,2.93,22,1,1
469,2018-04-15,1.15,0.92,0.66,1,2,9.81,2.97,8,0,1
470,2018-04-16,4.31,2.66,0.5,1,2,9.77,2.95,10,0,1
471,2018-04-17,2.94,0.22,1.47,1,2,13.38,1.29,10,0,1
472,2018-04-18,4.18,1.47,0.88,1,2,10.56,2.67,12,1,2
473,2018-04-19,4.88,0.14,1.72,1,0,8.87,2.34,28,1,1
474,2018-04-20,0.06,1.76,0.31,0,1,19.94,1.09,27,1,1
475,2018-04-21,3.43,1.42,0.67,0,1,8.44,2.74,9,0,1
476,2018-04-22,0.93,0.57,0.58,0,1,15.25,1.41,19,0,1
477,2018-04-23,1.12,0.82,1.37,0,2,9.84,2.27,29,1,1
478,2018-04-24,4.45,1.99,1.47,1,2,11.58,2.61,17,1,2
479,2018-04-25,2.37,2.71,1.73,1,0,10.1,2.84,15,0,1
480,2018-04-26,3.33,1.08,1.1,1,2,11.46,2.55,26,1,1
481,2018-04-27,4.53,1.02,0.68,0,1,14.04,1.64,21,1,1
482,2018-04-28,3.28,2.15,2.25,1,0,10.73,2.17,29,1,2
483,2018-04-29,2.48,1.7,0.44,0,1,14.35,1.5,20,0,1
484,2018-04-30,3.65,2.95,0.92,0,1,14.87,1.91,18,0,2
485,2018-05-01,1.11,1.08,2.14,0,2,9.27,2.94,25,1,1
486,2018-05-02,0.41,2.34,2.05,1,0,15.88,1.59,16,0,1
487,2018-05-03,4.77,2.55,0.12,0,1,10.87,2.81,10,0,2
488,2018-05-04,1.82,1.99,1.49,1,2,9.57,2.15,15,0,1
489,2018-05-05,3.48,0.79,2.04,0,2,15.32,1.54,14,1,1
490,2018-05-06,0.11,0.71,1.9,0,2,19.06,1.91,18,0,2
491,2018-05-07,1.64,2.8,0.52,0,1,10.47,2.01,8,1,1
492,2018-05-08,4.06,1.85,1.48,0,2,9.57,2.87,15,1,2
493,2018-05-09,1.77,1.5,0.89,0,1,9.82,2.93,24,0,2
494,2018-05-10,1.86,0.92,1.71,0,2,14.31,1.57,8,0,2
495,2018-05-11,4.16,1.36,1.32,0,2,19.17,1.07,15,1,1
496,2018-05-12,1.04,2.74,1.56,1,0,18.96,1.92,21,1,1
497,2018-05-13,0.54,2.48,1.79,0,2,9.37,2.72,16,1,1
498,2018-05-14,2.8,0.7,0.31,1,2,12.52,1.72,15,1,1
499,2018-05-15,2.32,1.49,2.26,1,0,10.63,2.08,29,0,2
500,2018-05-16,1.43,0.05,0.16,1,2,18.74,1.49,20,1,2
501,2018-05-17,3.67,2.54,1.84,0,2,9.26,2.54,9,1,2
502,2018-05-18,4.69,1.99,1.52,0,2,10.84,2.13,20,0,2
503,2018-05-19,4.6,2.87,2.12,1,0,10.25,2.03,13,1,1
504,2018-05-20,0.73,0.83,0.3,1,2,11.23,2.26,6,1,2
505,2018-05-21,2.97,0.98,0.98,0,1,17.46,1.62,11,1,2
506,2018-05-22,1.11,2.06,0.96,0,1,10.07,2.49,28,0,2
507,2018-05-23,3.08,2.47,0.22,0,1,11.25,2.23,5,0,2
508,2018-05-24,0.93,2.98,2.29,1,0,8.3,2.99,25,1,1
509,2018-05-25,0.45,2.55,2.34,1,0,14.92,1.98,12,0,2
510,2018-05-26,0.05,1.44,1.88,1,0,10.81,2.27,6,1,1
511,2018-05-27,0.84,0.21,0.3,1,2,18.35,1.52,26,1,2
512,2018-05-28,3.33,2.3,2.31,0,2,8.48,2.88,22,1,1
513,2018-05-29,3.11,2.29,1.79,0,2,12.37,1.49,27,1,1
514,2018-05-30,1.48,1.88,2.09,1,0,9.55,2.62,21,1,1
515,2018-05-31,2.92,0.68,0.65,1,2,16.35,1.82,13,1,1
516,2018-06-01,1.35,1.01,1.73,0,2,8.38,2.18,11,0,2
517,2018-06-02,4.69,0.02,2.34,1,0,10.91,2.89,15,1,1
518,2018-06-03,0.68,1.66,2.16,0,2,11.41,2.72,5,1,1
519,2018-06-04,2.12,0.27,1.96,1,0,8.46,2.7,18,0,2
520,2018-06-05,4.9,2.69,1.34,0,2,15.7,1.69,22,0,1
521,2018-06-06,1.05,1.95,1.37,0,2,13.41,1.98,13,1,1
522,2018-06-07,3.22,0.01,0.75,0,1,15.87,1.12,18,0,2
523,2018-06-08,1.94,2.53,1.46,1,2,9.23,2.39,8,1,1
524,2018-06-09,1.93,0.1,1.11,1,2,16.59,1.4,22,0,2
525,2018-06-10,0.13,0.33,0.78,1,2,18.57,1.63,5,1,1
526,2018-06-11,1.65,1.31,1.34,1,2,16.94,2.0,28,1,1
527,2018-06-12,1.7,0.6,1.41,0,2,18.98,1.91,20,0,1
528,2018-06-13,2.17,1.74,1.28,1,2,12.68,1.55,27,1,2
529,2018-06-14,3.13,2.72,0.94,0,1,8.85,2.68,25,1,2
530,2018-06-15,1.06,2.7,1.41,0,2,16.04,1.41,29,0,1
531,2018-06-16,0.96,1.13,2.47,0,2,8.83,2.96,22,0,1
532,2018-06-17,2.82,2.51,0.53,1,2,12.45,1.9,28,1,1
533,2018-06-18,1.69,0.05,0.77,1,2,19.32,1.53,10,1,2
534,2018-06-19,0.41,0.19,1.28,1,2,11.94,2.67,7,1,1
535,2018-06-20,4.38,2.04,2.4,1,0,11.32,2.64,20,0,2
536,2018-06-21,0.95,2.84,1.21,0,2,10.96,2.74,26,1,2
537,2018-06-22,4.87,2.12,0.35,1,2,15.51,1.5,5,1,1
538,2018-06-23,3.57,2.74,2.49,0,2,8.92,2.47,21,0,2
539,2018-06-24,1.05,0.83,1.92,1,0,10.61,2.33,14,0,1
540,2018-06-25,3.08,1.41,0.21,1,2,9.16,2.94,7,1,2
541,2018-06-26,3.74,2.11,1.37,1,2,14.87,1.54,15,1,2
542,2018-06-27,4.05,2.1,1.54,0,2,9.0,2.82,16,1,1
543,2018-06-28,4.76,2.09,0.5,1,2,11.48,2.25,22,0,2
544,2018-06-29,1.37,1.94,1.94,1,0,11.65,2.72,22,0,2
545,2018-06-30,2.74,0.1,1.26,1,2,9.34,2.15,15,0,1
546,2018-07-01,4.97,0.59,1.52,1,0,12.19,1.71,11,1,1
547,2018-07-02,3.98,2.38,0.17,0,1,8.38,2.54,22,1,1
548,2018-07-03,2.08,0.47,1.36,0,2,10.93,2.23,12,0,1
549,2018-07-04,1.42,2.61,1.84,1,0,8.09,2.72,23,1,1
550,2018-07-05,3.85,2.77,0.96,1,2,11.37,2.51,21,1,1
551,2018-07-06,3.87,1.84,2.49,1,0,9.07,2.67,20,0,1
552,2018-07-07,3.9,1.34,2.08,1,0,10.88,2.21,21,0,2
553,2018-07-08,0.03,1.0,1.68,0,2,9.6,2.51,29,1,1
554,2018-07-09,1.22,0.08,1.45,1,2,11.09,2.68,12,0,1
555,2018-07-10,2.48,2.8,1.18,0,2,12.3,1.33,12,1,2
556,2018-07-11,4.44,1.68,0.67,0,1,9.14,2.04,28,1,1
557,2018-07-12,1.92,0.57,0.75,0,1,8.78,2.4,25,0,1
558,2018-07-13,2.22,1.75,0.97,1,2,17.71,1.99,19,1,2
559,2018-07-14,2.3,1.2,0.63,1,2,15.58,1.15,8,1,1
560,2018-07-15,1.75,0.46,0.35,0,1,14.0,1.51,6,1,2
561,2018-07-16,2.13,2.97,0.41,0,1,13.65,1.67,8,0,2
562,2018-07-17,4.35,1.62,2.27,0,2,18.93,1.28,9,1,2
563,2018-07-18,2.75,2.26,1.44,0,2,14.3,1.99,27,1,1
564,2018-07-19,2.99,0.29,1.31,1,2,9.33,2.89,20,0,2
565,2018-07-20,0.37,2.68,0.51,0,1,13.67,1.27,13,1,1
566,2018-07-21,3.38,1.56,2.43,0,2,11.37,2.15,14,1,2
567,2018-07-22,1.75,1.26,1.87,0,2,14.76,1.64,11,0,2
568,2018-07-23,2.34,0.34,0.37,1,2,12.99,1.97,23,1,1
569,2018-07-24,2.5,0.89,0.74,0,1,10.91,2.02,24,0,2
570,2018-07-25,4.07,2.79,1.55,0,2,14.96,1.42,26,1,2
571,2018-07-26,2.34,1.93,1.29,1,2,10.92,2.02,13,1,2
572,2018-07-27,4.99,2.98,1.8,0,2,11.82,2.13,19,1,2
573,2018-07-28,2.45,1.93,1.55,0,2,10.56,2.01,18,1,2
574,2018-07-29,2.11,0.71,1.38,0,2,8.97,2.8,20,1,1
575,2018-07-30,1.83,2.63,0.39,0,1,13.31,1.28,29,0,1
576,2018-07-31,3.96,0.17,0.64,1,2,19.34,1.46,28,0,2
577,2018-08-01,0.51,1.75,0.4,0,1,13.93,1.79,26,1,1
578,2018-08-02,2.47,1.93,0.82,1,2,8.43,2.98,21,1,2
579,2018-08-03,2.86,1.96,1.8,0,2,8.95,2.38,14,1,2
580,2018-08-04,0.35,0.48,2.32,0,2,8.8,2.48,7,0,1
581,2018-08-05,1.26,0.35,2.15,0,2,12.31,1.63,11,0,1
582,2018-08-06,1.9,2.28,0.88,0,1,19.55,1.02,24,1,1
583,2018-08-07,1.52,2.14,1.57,1,0,10.86,2.64,19,1,2
584,2018-08-08,4.82,2.47,1.02,0,2,9.55,2.31,17,0,1
585,2018-08-09,2.45,0.98,1.78,0,2,9.52,2.92,8,1,2
586,2018-08-10,2.1,1.28,0.67,1,2,19.84,1.27,26,1,1
587,2018-08-11,1.5,2.12,0.33,0,1,17.92,1.24,27,0,2
588,2018-08-12,1.78,0.36,2.48,0,2,17.19,1.3,17,1,1
589,2018-08-13,2.74,1.62,1.9,0,2,17.38,1.81,17,0,1
590,2018-08-14,1.34,2.18,0.2,0,1,8.61,2.13,7,1,1
591,2018-08-15,0.2,0.41,0.59,1,2,17.98,1.84,27,1,1
592,2018-08-16,0.36,2.57,1.48,1,2,9.4,2.21,6,1,2
593,2018-08-17,4.71,2.99,0.44,1,2,8.65,2.46,26,1,1
594,2018-08-18,1.92,0.92,2.31,0,2,10.66,2.16,11,1,1
595,2018-08-19,3.06,1.34,0.77,0,1,19.54,1.06,19,1,1
596,2018-08-20,4.06,1.96,0.31,1,2,18.79,1.41,12,0,2
597,2018-08-21,4.7,2.61,0.2,1,2,18.23,1.67,8,0,1
598,2018-08-22,1.77,1.32,0.61,0,1,8.59,2.69,15,1,1
599,2018-08-23,2.7,2.81,2.16,1,0,11.61,2.23,9,1,1
600,2018-08-24,2.24,2.57,1.91,0,2,9.69,2.54,22,1,2
601,2018-08-25,0.9,2.75,1.8,0,2,8.37,2.62,26,0,2
602,2018-08-26,2.18,2.4,1.27,0,2,8.74,2.12,8,0,2
603,2018-08-27,1.33,1.35,0.99,1,2,8.77,2.53,28,0,2
604,2018-08-28,4.11,0.07,2.34,1,0,12.22,1.72,27,0,1
605,2018-08-29,4.95,0.78,0.31,0,1,17.31,1.8,9,0,1
606,2018-08-30,4.07,0.21,2.34,0,2,8.81,2.27,10,0,2
607,2018-08-31,0.66,1.78,1.67,1,0,15.16,1.94,25,0,2
608,2018-09-01,2.15,2.62,1.14,1,2,15.18,1.58,16,0,2
609,2018-09-02,2.59,2.62,2.15,0,2,11.11,2.9,5,0,2
610,2018-09-03,4.68,2.81,0.62,0,1,19.29,1.39,16,1,1
611,2018-09-04,1.35,1.59,1.2,0,2,12.98,1.12,10,1,1
612,2018-09-05,2.68,1.02,0.87,1,2,8.64,2.48,21,1,2
613,2018-09-06,2.23,2.35,0.89,1,2,16.64,1.87,20,1,2
614,2018-09-07,1.38,2.24,2.29,0,2,8.46,2.48,17,1,2
615,2018-09-08,1.92,1.49,1.35,0,2,9.55,2.55,10,0,1
616,2018-09-09,3.13,1.52,0.12,1,2,8.55,2.93,26,0,1
617,2018-09-10,0.04,2.79,2.27,1,0,16.51,1.76,13,1,2
618,2018-09-11,3.1,0.26,1.11,1,2,11.54,2.82,14,1,2
619,2018-09-12,0.32,1.7,1.36,0,2,13.83,1.31,22,0,2
620,2018-09-13,1.64,0.8,2.38,1,0,15.63,1.23,22,0,1
621,2018-09-14,2.38,0.22,1.5,0,2,10.78,2.32,21,1,1
622,2018-09-15,1.13,1.95,1.02,0,2,9.41,2.43,18,0,1
623,2018-09-16,2.46,1.67,1.83,0,2,19.34,1.98,7,0,2
624,2018-09-17,4.44,1.54,1.67,1,0,14.98,1.15,27,0,2
625,2018-09-18,4.06,0.03,1.09,1,2,9.47,2.24,6,0,2
626,2018-09-19,1.82,2.62,2.03,1,0,10.01,2.75,6,1,1
627,2018-09-20,2.03,2.81,2.18,1,0,14.07,1.09,27,1,1
628,2018-09-21,3.48,0.94,0.75,1,2,8.52,2.68,19,0,1
629,2018-09-22,1.87,0.33,2.11,1,0,11.8,2.08,12,1,1
630,2018-09-23,0.13,0.34,2.38,0,2,15.34,1.66,25,1,2
631,2018-09-24,0.06,2.23,2.01,1,0,11.37,2.46,7,0,2
632,2018-09-25,0.35,0.88,1.14,0,2,8.99,2.09,15,1,1
633,2018-09-26,2.48,1.51,0.79,1,2,18.04,1.19,25,0,1
634,2018-09-27,0.28,0.36,1.09,1,2,18.43,1.97,26,1,2
635,2018-09-28,0.26,1.06,1.04,1,2,12.26,1.78,13,0,2
636,2018-09-29,4.92,1.24,1.43,1,2,16.71,1.73,7,1,1
637,2018-09-30,0.39,2.03,1.84,1,0,9.09,2.0,27,1,1
638,2018-10-01,2.81,2.17,1.39,1,2,9.99,2.86,17,0,2
639,2018-10-02,2.24,0.03,0.25,1,2,10.53,2.5,15,1,2
640,2018-10-03,1.4,2.94,0.11,1,2,9.04,2.85,27,0,1
641,2018-10-04,0.38,2.85,0.71,1,2,10.7,2.66,6,1,1
642,2018-10-05,4.52,0.93,0.87,0,1,11.46,2.92,27,1,2
643,2018-10-06,0.61,1.85,1.21,1,2,9.51,2.4,24,1,1
644,2018-10-07,1.39,2.4,1.08,1,2,10.1,2.76,20,0,1
645,2018-10-08,1.06,1.98,2.48,0,2,9.95,2.56,12,1,2
646,2018-10-09,1.36,2.15,0.57,0,1,13.4,1.64,17,1,1
647,2018-10-10,1.81,1.28,0.54,1,2,10.56,2.58,13,1,2
648,2018-10-11,3.84,1.86,1.0,1,2,8.27,2.77,29,0,1
649,2018-10-12,4.39,1.06,1.46,0,2,11.67,2.09,19,0,1
650,2018-10-13,0.72,0.42,1.13,1,2,13.16,1.33,19,1,2
651,2018-10-14,4.28,3.0,1.21,1,2,18.2,1.88,12,1,2
652,2018-10-15,0.29,0.18,0.69,0,1,11.57,2.1,6,1,2
653,2018-10-16,0.73,2.59,1.24,1,2,8.25,2.03,20,1,2
654,2018-10-17,2.62,1.74,2.39,0,2,11.88,2.72,25,1,1
655,2018-10-18,3.58,2.86,2.3,0,2,13.3,1.33,23,0,1
656,2018-10-19,0.87,2.99,2.23,0,2,10.09,2.56,25,0,1
657,2018-10-20,3.04,0.45,1.73,1,0,11.83,2.75,15,1,2
658,2018-10-21,4.34,0.39,0.33,1,2,8.28,2.04,27,1,1
659,2018-10-22,4.86,1.4,1.73,1,0,8.49,2.86,6,0,2
660,2018-10-23,0.63,2.89,2.18,1,0,15.08,1.47,12,1,2
661,2018-10-24,2.66,2.98,1.75,1,0,10.49,2.07,23,0,1
662,2018-10-25,4.4,0.35,1.39,0,2,16.38,1.43,29,0,1
663,2018-10-26,1.74,1.67,2.11,0,2,9.08,2.89,12,0,1
664,2018-10-27,2.13,1.82,2.33,0,2,12.03,1.17,9,0,2
665,2018-10-28,2.96,2.44,0.25,0,1,15.49,1.6,12,0,1
666,2018-10-29,1.27,2.72,1.05,1,2,13.12,1.76,23,0,2
667,2018-10-30,3.42,2.74,2.28,1,0,18.36,1.99,6,1,2
668,2018-10-31,3.16,1.84,1.99,1,0,11.47,2.53,8,0,1
669,2018-11-01,2.47,1.51,0.37,0,1,10.47,2.18,16,1,2
670,2018-11-02,2.79,1.72,0.84,1,2,8.49,2.49,15,0,1
671,2018-11-03,3.23,1.18,2.46,1,0,8.99,2.14,19,0,1
672,2018-11-04,2.81,0.99,0.79,0,1,8.75,2.36,20,0,2
673,2018-11-05,0.6,1.53,1.13,0,2,14.51,1.71,9,1,2
674,2018-11-06,1.98,1.38,2.31,0,2,16.06,1.79,19,0,1
675,2018-11-07,1.59,1.31,2.13,1,0,17.98,1.8,6,0,2
676,2018-11-08,0.39,2.54,1.38,0,2,12.81,1.4,8,1,1
677,2018-11-09,2.1,2.39,0.85,1,2,9.48,2.78,24,1,1
678,2018-11-10,3.34,0.2,1.79,0,2,8.05,2.64,28,0,1
679,2018-11-11,1.33,1.67,0.23,1,2,8.85,2.28,27,0,2
680,2018-11-12,1.77,2.16,1.08,1,2,12.37,1.08,21,1,2
681,2018-11-13,4.55,2.3,1.45,1,2,9.44,2.99,29,1,1
682,2018-11-14,1.26,2.0,0.41,0,1,15.92,1.17,29,1,1
683,2018-11-15,2.51,0.83,0.73,0,1,17.72,1.72,15,1,2
684,2018-11-16,3.98,1.82,0.2,0,1,18.16,1.46,8,1,2
685,2018-11-17,0.38,2.33,1.42,1,2,19.81,1.39,17,1,1
686,2018-11-18,1.23,0.31,1.28,1,2,16.75,1.81,16,1,1
687,2018-11-19,4.0,1.06,1.53,1,0,10.05,2.55,18,1,2
688,2018-11-20,2.26,0.18,0.63,1,2,17.84,1.46,11,1,1
689,2018-11-21,4.93,0.55,2.43,0,2,13.05,1.44,24,0,1
690,2018-11-22,2.62,0.36,2.38,0,2,11.14,2.08,9,1,1
691,2018-11-23,0.85,2.22,1.33,1,2,15.84,1.56,17,0,1
692,2018-11-24,1.57,0.94,1.41,1,2,13.02,1.4,17,0,2
693,2018-11-25,1.42,0.72,2.01,0,2,11.67,2.12,24,1,1
694,2018-11-26,2.99,0.99,0.88,1,2,16.45,1.25,29,1,1
695,2018-11-27,3.09,1.36,1.04,1,2,18.74,1.96,8,0,2
696,2018-11-28,4.18,0.06,0.57,0,1,11.74,2.07,9,1,1
697,2018-11-29,1.98,1.0,1.02,0,2,12.26,1.35,28,0,1
698,2018-11-30,3.71,0.4,1.12,1,2,9.31,2.57,28,1,2
699,2018-12-01,1.07,2.76,0.32,1,2,19.51,1.77,19,0,2
700,2018-12-02,0.92,0.55,0.89,0,1,12.96,1.5,24,0,1
701,2018-12-03,1.97,1.34,0.38,0,1,11.75,2.71,15,1,2
702,2018-12-04,1.99,0.29,2.05,1,0,8.94,2.52,7,0,1
703,2018-12-05,0.78,2.47,1.74,0,2,8.48,2.92,17,0,2
704,2018-12-06,4.69,2.72,1.44,1,2,17.74,1.17,20,0,1
705,2018-12-07,1.65,0.91,1.86,1,0,8.2,2.4,23,0,2
706,2018-12-08,0.96,0.31,2.29,0,2,15.95,1.38,28,0,1
707,2018-12-09,4.48,0.75,1.82,0,2,11.18,2.9,18,0,2
708,2018-12-10,3.31,0.34,1.13,0,2,13.62,1.71,6,0,2
709,2018-12-11,1.54,0.33,0.52,0,1,18.98,1.89,20,1,1
